code_name,ticker,created_at,text
海尔智家,sh.600690,2026-03-13,海尔集团副总裁舒海表示，家庭场景复杂多变，家用服务机器人落地需针对真实用户痛点，其中银发康养场景是重要应用方向。
海尔智家,sh.600690,2026-03-13,2026年3月13日，海尔智家携多产品方案亮相AWE 2026，聚焦智慧生活新业态。公司副总裁崔振表示，未来将基于庞大数据积累与用户需求洞察，不断创新迭代，持续向以用户为中心的平台服务型科技生态企业转型。
海尔智家,sh.600690,2026-03-13,在2026年AWE展会上，海尔智家发布了AI之眼2.0。据公司负责人介绍，相比去年的1.0版本，升级版在洗衣机识别更准、冰箱与烟灶识别更全、空调识别更快，系列家电已达到L4智能等级。
海尔智家,sh.600690,2026-03-13,顺威股份在“数智新生态共创赢未来”2026年海尔智家全球供应商合作伙伴大会上，被授予“海尔智家2026年度技术创新奖”。
海尔智家,sh.600690,2026-03-13,海尔智家在2026年3月13日举办的AWE展会上，以“AI生活无界进化”为主题，展示了智慧家庭版图的最新进展，展馆内设有巨大的“AI之眼”装置。
海尔智家,sh.600690,2026-03-13,家用服务机器人产业发展论坛暨家用服务机器人专委会成立大会在上海召开。海尔智家参会，其集团副总裁舒海表示，当前家电行业正呈现两大发展趋势：家电AI化和家电具身化。
海尔智家,sh.600690,2026-03-13,海尔智家于2026年3月12日在AWE2026发布天悦AI智能门锁Q600Plus，该产品首次搭载由光因科技提供的钙钛矿太阳能组件，可实现微光发电、永久续航。
海尔智家,sh.600690,2026-03-13,原文信息不足，无法形成完整摘要。
海尔智家,sh.600690,2026-03-13,2026年3月13日，家用电器板块获9.56亿元主力资金净流入。个股方面，康盛股份、深康佳A、勤上股份、天银机电等出现主力资金净流出，海尔智家（600690）资金数据未完整显示。
海尔智家,sh.600690,2026-03-13,原文信息不足，无法形成完整摘要。
海尔智家,sh.600690,2026-03-13,2026年3月13日，海尔智家旗下海尔智慧家庭联合中国家用电器研究院、上海交通大学、小度、海思、长安汽车、科大讯飞等多家机构，在AWE2026展会期间正式发布《家庭大脑白皮书（2026）》。
