code_name,ticker,created_at,text
恒瑞医药,sh.600276,2026-04-20,原文信息不足，无法形成完整摘要。
恒瑞医药,sh.600276,2026-04-20,恒瑞医药于2026年4月20日发布海外监管公告，披露公司已获得药物临床试验批准通知书。公告未提供具体的药物名称、适应症或试验细节。该公告系根据香港上市规则第13.10B条刊发，内容引用自上海证券交易所网站。
恒瑞医药,sh.600276,2026-04-20,恒瑞医药公告称，其子公司苏州盛迪亚生物医药有限公司的注射用瑞康曲妥珠单抗（SHR-A1811）被国家药监局药品审评中心纳入突破性治疗品种名单。
恒瑞医药,sh.600276,2026-04-20,恒瑞医药（600276.SH）公告，其子公司福建盛迪医药有限公司近日收到国家药监局核准签发的《药物临床试验批准通知书》，同意HRS9531注射液在青少年（≥12岁且<18岁）超重和肥胖患者中开展临床试验。
恒瑞医药,sh.600276,2026-04-20,恒瑞医药公告，其HRS9531注射液已收到国家药品监督管理局《药物临床试验批准通知书》，获准在青少年（12岁至18岁）超重和肥胖患者中开展临床试验。
恒瑞医药,sh.600276,2026-04-20,恒瑞医药（600276.SH）于2026年4月20日公告，其子公司苏州盛迪亚生物医药有限公司的注射用瑞康曲妥珠单抗（SHR-A1811）被国家药监局药品审评中心纳入突破性治疗品种名单。
恒瑞医药,sh.600276,2026-04-20,恒瑞医药子公司福建盛迪医药有限公司收到国家药品监督管理局核准签发的《药物临床试验批准通知书》，批准HRS9531注射液开展临床试验，将于近期进行。
恒瑞医药,sh.600276,2026-04-20,恒瑞医药子公司苏州盛迪亚的注射用瑞康曲妥珠单抗（SHR-A1811）被国家药监局药品审评中心纳入突破性治疗品种名单，这是该产品第11项获得突破性治疗认证的适应症。
恒瑞医药,sh.600276,2026-04-20,恒瑞医药公告，其子公司福建盛迪医药有限公司收到国家药品监督管理局签发的关于HRS9531注射液的《药物临床试验批准通知书》，该药物将近期开展临床试验。
恒瑞医药,sh.600276,2026-04-20,恒瑞医药子公司苏州盛迪亚生物医药有限公司的注射用瑞康曲妥珠单抗（SHR-A1811）于2026年4月20日被国家药品监督管理局药品审评中心纳入突破性治疗品种名单。
恒瑞医药,sh.600276,2026-04-20,恒瑞医药子公司苏州盛迪亚生物医药有限公司的注射用瑞康曲妥珠单抗（SHR-A1811）被国家药品监督管理局药品审评中心纳入突破性治疗品种名单，这是该药品第11项获得突破性治疗认证的适应症。
