股票代码,企业名称,交易日期,开盘价,最高价,最低价,收盘价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,复权类型
600048,保利发展,2025-01-02,228.5399896,232.1594012,222.5938134,224.4035192,127331073.0,1121639097.62,,-2.0316,,1.0637,hfq
600048,保利发展,2025-01-02,8.84,8.98,8.61,8.68,127331073.0,1121639097.62,,-2.0316,,1.0637,none
600048,保利发展,2025-01-02,8.65191132,8.78893254,8.42680503,8.49531564,127331073.0,1121639097.62,,-2.0316,,1.0637,qfq
600048,保利发展,2025-01-03,224.4035192,226.213225,219.4914606,220.7841076,107856731.0,930058463.68,,-1.6129,,0.901,hfq
600048,保利发展,2025-01-03,8.68,8.75,8.49,8.54,107856731.0,930058463.68,,-1.6129,,0.901,none
600048,保利发展,2025-01-03,8.49531564,8.56382625,8.30935827,8.35829442,107856731.0,930058463.68,,-1.6129,,0.901,qfq
600048,保利发展,2025-01-06,220.5255782,220.7841076,216.3891078,220.7841076,101029297.0,857093437.76,,0.0,,0.844,hfq
600048,保利发展,2025-01-06,8.53,8.54,8.37,8.54,101029297.0,857093437.76,,0.0,,0.844,none
600048,保利发展,2025-01-06,8.34850719,8.35829442,8.19191151,8.35829442,101029297.0,857093437.76,,0.0,,0.844,qfq
600048,保利发展,2025-01-07,220.0085194,224.920578,217.164696,224.1449898,104231899.0,895668427.09,,1.5222,,0.8707,hfq
600048,保利发展,2025-01-07,8.51,8.7,8.4,8.67,104231899.0,895668427.09,,1.5222,,0.8707,none
600048,保利发展,2025-01-07,8.32893273,8.5148901,8.2212732,8.48552841,104231899.0,895668427.09,,1.5222,,0.8707,qfq
600048,保利发展,2025-01-08,222.5938134,224.1449898,219.4914606,222.335284,84375984.0,724363005.36,,-0.8074,,0.7049,hfq
600048,保利发展,2025-01-08,8.61,8.67,8.49,8.6,84375984.0,724363005.36,,-0.8074,,0.7049,none
600048,保利发展,2025-01-08,8.42680503,8.48552841,8.30935827,8.4170178,84375984.0,724363005.36,,-0.8074,,0.7049,qfq
600048,保利发展,2025-01-09,222.0767546,224.4035192,220.2670488,223.3694016,67124707.0,578095836.93,,0.4651,,0.5608,hfq
600048,保利发展,2025-01-09,8.59,8.68,8.52,8.64,67124707.0,578095836.93,,0.4651,,0.5608,none
600048,保利发展,2025-01-09,8.40723057,8.49531564,8.33871996,8.45616672,67124707.0,578095836.93,,0.4651,,0.5608,qfq
600048,保利发展,2025-01-10,222.8523428,226.4717544,218.7158724,218.9744018,73884718.0,631963068.0,,-1.9676,,0.6172,hfq
600048,保利发展,2025-01-10,8.62,8.76,8.46,8.47,73884718.0,631963068.0,,-1.9676,,0.6172,none
600048,保利发展,2025-01-10,8.43659226,8.57361348,8.27999658,8.28978381,73884718.0,631963068.0,,-1.9676,,0.6172,qfq
600048,保利发展,2025-01-13,217.164696,223.1108722,215.3549902,223.1108722,87119016.0,742674003.31,,1.889,,0.7278,hfq
600048,保利发展,2025-01-13,8.4,8.63,8.33,8.63,87119016.0,742674003.31,,1.889,,0.7278,none
600048,保利发展,2025-01-13,8.2212732,8.44637949,8.15276259,8.44637949,87119016.0,742674003.31,,1.889,,0.7278,qfq
600048,保利发展,2025-01-14,222.335284,226.9888132,222.335284,226.7302838,97104212.0,845954924.39,,1.6222,,0.8112,hfq
600048,保利发展,2025-01-14,8.6,8.78,8.6,8.77,97104212.0,845954924.39,,1.6222,,0.8112,none
600048,保利发展,2025-01-14,8.4170178,8.59318794,8.4170178,8.58340071,97104212.0,845954924.39,,1.6222,,0.8112,qfq
600048,保利发展,2025-01-15,226.213225,227.2473426,222.335284,225.6961662,69014560.0,600489740.27,,-0.4561,,0.5765,hfq
600048,保利发展,2025-01-15,8.75,8.79,8.6,8.73,69014560.0,600489740.27,,-0.4561,,0.5765,none
600048,保利发展,2025-01-15,8.56382625,8.60297517,8.4170178,8.54425179,69014560.0,600489740.27,,-0.4561,,0.5765,qfq
600048,保利发展,2025-01-16,225.9546956,228.5399896,221.042637,223.8864604,97005356.0,843912398.43,,-0.8018,,0.8104,hfq
600048,保利发展,2025-01-16,8.74,8.84,8.55,8.66,97005356.0,843912398.43,,-0.8018,,0.8104,none
600048,保利发展,2025-01-16,8.55403902,8.65191132,8.36808165,8.47574118,97005356.0,843912398.43,,-0.8018,,0.8104,qfq
600048,保利发展,2025-01-17,218.457343,226.7302838,218.1988136,223.8864604,106514789.0,917489047.24,,0.0,,0.8898,hfq
600048,保利发展,2025-01-17,8.45,8.77,8.44,8.66,106514789.0,917489047.24,,0.0,,0.8898,none
600048,保利发展,2025-01-17,8.27020935,8.58340071,8.26042212,8.47574118,106514789.0,917489047.24,,0.0,,0.8898,qfq
600048,保利发展,2025-01-20,223.3694016,225.6961662,217.9402842,222.335284,124404388.0,1067657473.7,,-0.6928,,1.0393,hfq
600048,保利发展,2025-01-20,8.64,8.73,8.43,8.6,124404388.0,1067657473.7,,-0.6928,,1.0393,none
600048,保利发展,2025-01-20,8.45616672,8.54425179,8.25063489,8.4170178,124404388.0,1067657473.7,,-0.6928,,1.0393,qfq
600048,保利发展,2025-01-21,222.5938134,233.4520482,221.3011664,224.920578,237014463.0,2085028669.62,,1.1628,,1.98,hfq
600048,保利发展,2025-01-21,8.61,9.03,8.56,8.7,237014463.0,2085028669.62,,1.1628,,1.98,none
600048,保利发展,2025-01-21,8.42680503,8.83786869,8.37786888,8.5148901,237014463.0,2085028669.62,,1.1628,,1.98,qfq
600048,保利发展,2025-01-22,221.5596958,221.8182252,214.579402,214.579402,171908113.0,1447136458.23,,-4.5977,,1.4361,hfq
600048,保利发展,2025-01-22,8.57,8.58,8.3,8.3,171908113.0,1447136458.23,,-4.5977,,1.4361,none
600048,保利发展,2025-01-22,8.38765611,8.39744334,8.1234009,8.1234009,171908113.0,1447136458.23,,-4.5977,,1.4361,qfq
600048,保利发展,2025-01-23,216.6476372,222.0767546,215.872049,216.9061666,162010676.0,1373062402.49,,1.0843,,1.3534,hfq
600048,保利发展,2025-01-23,8.38,8.59,8.35,8.39,162010676.0,1373062402.49,,1.0843,,1.3534,none
600048,保利发展,2025-01-23,8.20169874,8.40723057,8.17233705,8.21148597,162010676.0,1373062402.49,,1.0843,,1.3534,qfq
600048,保利发展,2025-01-24,216.9061666,219.2329312,215.0964608,217.6817548,101235950.0,850806540.02,,0.3576,,0.8457,hfq
600048,保利发展,2025-01-24,8.39,8.48,8.32,8.42,101235950.0,850806540.02,,0.3576,,0.8457,none
600048,保利发展,2025-01-24,8.21148597,8.29957104,8.14297536,8.24084766,101235950.0,850806540.02,,0.3576,,0.8457,qfq
600048,保利发展,2025-01-27,217.9402842,221.5596958,215.0964608,215.0964608,102810382.0,866288861.46,,-1.1876,,0.8589,hfq
600048,保利发展,2025-01-27,8.43,8.57,8.32,8.32,102810382.0,866288861.46,,-1.1876,,0.8589,none
600048,保利发展,2025-01-27,8.25063489,8.38765611,8.14297536,8.14297536,102810382.0,866288861.46,,-1.1876,,0.8589,qfq
600048,保利发展,2025-02-05,215.872049,216.6476372,211.2185198,212.7696962,94153067.0,773236216.29,,-1.0817,,0.7865,hfq
600048,保利发展,2025-02-05,8.35,8.38,8.17,8.23,94153067.0,773236216.29,,-1.0817,,0.7865,none
600048,保利发展,2025-02-05,8.17233705,8.20169874,7.99616691,8.05489029,94153067.0,773236216.29,,-1.0817,,0.7865,qfq
600048,保利发展,2025-02-06,212.5111668,216.6476372,212.2526374,214.3208726,93014686.0,770609467.76,,0.729,,0.777,hfq
600048,保利发展,2025-02-06,8.22,8.38,8.21,8.29,93014686.0,770609467.76,,0.729,,0.777,none
600048,保利发展,2025-02-06,8.04510306,8.20169874,8.03531583,8.11361367,93014686.0,770609467.76,,0.729,,0.777,qfq
600048,保利发展,2025-02-07,213.8038138,220.7841076,212.7696962,218.457343,153273377.0,1293774169.34,,1.93,,1.2804,hfq
600048,保利发展,2025-02-07,8.27,8.54,8.23,8.45,153273377.0,1293774169.34,,1.93,,1.2804,none
600048,保利发展,2025-02-07,8.09403921,8.35829442,8.05489029,8.27020935,153273377.0,1293774169.34,,1.93,,1.2804,qfq
600048,保利发展,2025-02-10,217.164696,220.2670488,216.9061666,218.9744018,91745328.0,776864271.56,,0.2367,,0.7664,hfq
600048,保利发展,2025-02-10,8.4,8.52,8.39,8.47,91745328.0,776864271.56,,0.2367,,0.7664,none
600048,保利发展,2025-02-10,8.2212732,8.33871996,8.21148597,8.28978381,91745328.0,776864271.56,,0.2367,,0.7664,qfq
600048,保利发展,2025-02-11,219.74999,220.2670488,213.8038138,214.3208726,109561782.0,913880384.96,,-2.1251,,0.9153,hfq
600048,保利发展,2025-02-11,8.5,8.52,8.27,8.29,109561782.0,913880384.96,,-2.1251,,0.9153,none
600048,保利发展,2025-02-11,8.3191455,8.33871996,8.09403921,8.11361367,109561782.0,913880384.96,,-2.1251,,0.9153,qfq
600048,保利发展,2025-02-12,214.8379314,223.1108722,211.2185198,222.0767546,183500830.0,1534537306.98,,3.6188,,1.5329,hfq
600048,保利发展,2025-02-12,8.31,8.63,8.17,8.59,183500830.0,1534537306.98,,3.6188,,1.5329,none
600048,保利发展,2025-02-12,8.13318813,8.44637949,7.99616691,8.40723057,183500830.0,1534537306.98,,3.6188,,1.5329,qfq
600048,保利发展,2025-02-13,219.2329312,225.4376368,217.9402842,222.0767546,225634441.0,1941639232.83,,0.0,,1.8849,hfq
600048,保利发展,2025-02-13,8.48,8.72,8.43,8.59,225634441.0,1941639232.83,,0.0,,1.8849,none
600048,保利发展,2025-02-13,8.29957104,8.53446456,8.25063489,8.40723057,225634441.0,1941639232.83,,0.0,,1.8849,qfq
600048,保利发展,2025-02-14,221.042637,222.335284,217.4232254,220.2670488,117362254.0,995076551.74,,-0.8149,,0.9804,hfq
600048,保利发展,2025-02-14,8.55,8.6,8.41,8.52,117362254.0,995076551.74,,-0.8149,,0.9804,none
600048,保利发展,2025-02-14,8.36808165,8.4170178,8.23106043,8.33871996,117362254.0,995076551.74,,-0.8149,,0.9804,qfq
600048,保利发展,2025-02-17,220.2670488,222.335284,218.7158724,219.2329312,130835785.0,1115031012.1,,-0.4695,,1.093,hfq
600048,保利发展,2025-02-17,8.52,8.6,8.46,8.48,130835785.0,1115031012.1,,-0.4695,,1.093,none
600048,保利发展,2025-02-17,8.33871996,8.4170178,8.27999658,8.29957104,130835785.0,1115031012.1,,-0.4695,,1.093,qfq
600048,保利发展,2025-02-18,219.2329312,219.2329312,213.8038138,215.0964608,104591945.0,876119069.08,,-1.8868,,0.8738,hfq
600048,保利发展,2025-02-18,8.48,8.48,8.27,8.32,104591945.0,876119069.08,,-1.8868,,0.8738,none
600048,保利发展,2025-02-18,8.29957104,8.29957104,8.09403921,8.14297536,104591945.0,876119069.08,,-1.8868,,0.8738,qfq
600048,保利发展,2025-02-19,214.579402,216.9061666,213.286755,215.3549902,96786971.0,804220117.52,,0.1202,,0.8085,hfq
600048,保利发展,2025-02-19,8.3,8.39,8.25,8.33,96786971.0,804220117.52,,0.1202,,0.8085,none
600048,保利发展,2025-02-19,8.1234009,8.21148597,8.07446475,8.15276259,96786971.0,804220117.52,,0.1202,,0.8085,qfq
600048,保利发展,2025-02-20,214.3208726,215.0964608,211.7355786,211.994108,102229921.0,839784231.9,,-1.5606,,0.854,hfq
600048,保利发展,2025-02-20,8.29,8.32,8.19,8.2,102229921.0,839784231.9,,-1.5606,,0.854,none
600048,保利发展,2025-02-20,8.11361367,8.14297536,8.01574137,8.0255286,102229921.0,839784231.9,,-1.5606,,0.854,qfq
600048,保利发展,2025-02-21,211.994108,213.8038138,210.9599904,211.994108,114791025.0,942200880.78,,0.0,,0.959,hfq
600048,保利发展,2025-02-21,8.2,8.27,8.16,8.2,114791025.0,942200880.78,,0.0,,0.959,none
600048,保利发展,2025-02-21,8.0255286,8.09403921,7.98637968,8.0255286,114791025.0,942200880.78,,0.0,,0.959,qfq
600048,保利发展,2025-02-24,211.994108,217.9402842,210.9599904,215.872049,168454035.0,1401186605.04,,1.8293,,1.4072,hfq
600048,保利发展,2025-02-24,8.2,8.43,8.16,8.35,168454035.0,1401186605.04,,1.8293,,1.4072,none
600048,保利发展,2025-02-24,8.0255286,8.25063489,7.98637968,8.17233705,168454035.0,1401186605.04,,1.8293,,1.4072,qfq
600048,保利发展,2025-02-25,214.3208726,217.9402842,213.286755,215.6135196,133669461.0,1117773893.71,,-0.1198,,1.1167,hfq
600048,保利发展,2025-02-25,8.29,8.43,8.25,8.34,133669461.0,1117773893.71,,-0.1198,,1.1167,none
600048,保利发展,2025-02-25,8.11361367,8.25063489,8.07446475,8.16254982,133669461.0,1117773893.71,,-0.1198,,1.1167,qfq
600048,保利发展,2025-02-26,217.9402842,225.4376368,217.6817548,223.1108722,222484977.0,1913466378.48,,3.4772,,1.8586,hfq
600048,保利发展,2025-02-26,8.43,8.72,8.42,8.63,222484977.0,1913466378.48,,3.4772,,1.8586,none
600048,保利发展,2025-02-26,8.25063489,8.53446456,8.24084766,8.44637949,222484977.0,1913466378.48,,3.4772,,1.8586,qfq
600048,保利发展,2025-02-27,224.1449898,229.0570484,223.3694016,227.7644014,216075723.0,1895483252.56,,2.0857,,1.8051,hfq
600048,保利发展,2025-02-27,8.67,8.86,8.64,8.81,216075723.0,1895483252.56,,2.0857,,1.8051,none
600048,保利发展,2025-02-27,8.48552841,8.67148578,8.45616672,8.62254963,216075723.0,1895483252.56,,2.0857,,1.8051,qfq
600048,保利发展,2025-02-28,228.0229308,231.383813,224.6620486,224.920578,217380800.0,1916995821.49,,-1.2486,,1.816,hfq
600048,保利发展,2025-02-28,8.82,8.95,8.69,8.7,217380800.0,1916995821.49,,-1.2486,,1.816,none
600048,保利发展,2025-02-28,8.63233686,8.75957085,8.50510287,8.5148901,217380800.0,1916995821.49,,-1.2486,,1.816,qfq
600048,保利发展,2025-03-03,226.7302838,231.383813,224.920578,225.9546956,156304205.0,1377346277.45,,0.4598,,1.3058,hfq
600048,保利发展,2025-03-03,8.77,8.95,8.7,8.74,156304205.0,1377346277.45,,0.4598,,1.3058,none
600048,保利发展,2025-03-03,8.58340071,8.75957085,8.5148901,8.55403902,156304205.0,1377346277.45,,0.4598,,1.3058,qfq
600048,保利发展,2025-03-04,224.4035192,226.4717544,220.7841076,226.213225,115279662.0,995884889.19,,0.1144,,0.963,hfq
600048,保利发展,2025-03-04,8.68,8.76,8.54,8.75,115279662.0,995884889.19,,0.1144,,0.963,none
600048,保利发展,2025-03-04,8.49531564,8.57361348,8.35829442,8.56382625,115279662.0,995884889.19,,0.1144,,0.963,qfq
600048,保利发展,2025-03-05,225.6961662,226.7302838,221.042637,222.5938134,116443630.0,1004629402.24,,-1.6,,0.9728,hfq
600048,保利发展,2025-03-05,8.73,8.77,8.55,8.61,116443630.0,1004629402.24,,-1.6,,0.9728,none
600048,保利发展,2025-03-05,8.54425179,8.58340071,8.36808165,8.42680503,116443630.0,1004629402.24,,-1.6,,0.9728,qfq
