code_name,ticker,created_at,text
海天味业,sh.603288,2025-08-29,海天味业于2025年8月发布《股东、董事和高级管理人员所持公司股份及其变动管理制度》，明确了相关主体股份变动的规范要求。制度涵盖大股东、董事、高级管理人员持股变动的限制性规定，包括不得减持的情形（如涉违法违规、离职后半年内等）、减持比例限制（如集中竞价90日内不超过1%）、减持方式规则及受让方6个月内不得减持等。该制度依据相关法律法规制定，旨在规范内部股份管理。
海天味业,sh.603288,2025-08-29,海天味业于2025年8月修订并发布反舞弊管理制度，旨在规范员工职业行为，防治舞弊及洗钱，维护公司及股东权益。制度明确了舞弊和洗钱行为的定义、类型，划分了董事会、管理层、审计委员会及审计与监察中心等机构的职责，规定了预防控制、举报调查、责任追究及补救处罚等具体措施，适用于公司及全资、控股子公司。
海天味业,sh.603288,2025-08-29,海天味业于2025年8月修订了董事会提名委员会议事规则。规则明确委员会由不少于3名董事组成，其中独立董事过半数，并应包含不同性别董事。委员会负责拟定董事、高级管理人员选任标准，物色人选，审查任职资格，评估独立董事独立性等。会议不定期召开，需2/3以上委员出席，决议经全体委员过半数通过。该规则依据相关法律法规和公司章程制定，旨在规范公司提名制度。
海天味业,sh.603288,2025-08-29,海天味业于2025年8月修订了《董事会秘书工作制度》。该制度明确了董事会秘书为公司高级管理人员，负责信息披露、公司治理、投资者关系管理等职责，并规定了任职条件、任免程序、培训与考核要求。制度要求董事会秘书具备相关专业知识及资格证书，不得有特定禁止情形，并设定了离职后三个月内完成聘任等流程。
海天味业,sh.603288,2025-08-29,2025年8月，海天味业修订并发布了《内幕信息及知情人管理制度》，依据相关法规明确了内幕信息范围（如经营方针重大变化、重大投资、重要合同等）和内幕信息知情人定义（包括董事、高管、持股5%以上股东等），并规定了内幕信息知情人档案登记、报送、保管及重大事项进程备忘录等管理要求，旨在规范内幕信息管理，加强保密工作。
海天味业,sh.603288,2025-08-29,海天味业于2025年8月修订《年度报告重大差错责任追究制度》，旨在提高公司规范运作水平，增强年报信息披露的真实性、准确性、完整性和及时性。制度明确了年报信息披露重大差错的认定标准（包括财务报告重大会计差错、其他信息披露重大错误或遗漏、业绩预告或快报与年报重大差异等）、处理程序、责任认定规则（董事长、总裁、董事会秘书等承担主要责任）以及内部处罚形式（通报批评、警告、降职、经济处罚、解除劳动合同等）。
海天味业,sh.603288,2025-08-29,海天味业于2025年8月修订外汇衍生品交易业务管理制度，旨在规范以套期保值为目的的外汇衍生品交易，防范国际贸易汇率风险。制度适用于公司及全资、控股子公司，明确只与有资质的金融机构交易，禁止投机。决策权限按持有合约价值及绝对金额区分，分别由董事会或股东会审批。要求使用自有资金，不得使用募集资金，且交易规模需与实际业务规模相匹配。
海天味业,sh.603288,2025-08-29,海天味业于2025年8月29日发布《股东会议事规则（2025年9月修订）》，规则明确了股东会作为公司最高权力机构的组成与职权，规定了年度股东会与临时股东会的召集程序，涵盖独立董事、审计委员会及持股10%以上股东提议召开临时股东会的具体流程，并细化提案要求、通知时限及现场与网络投票相结合的召开形式。
海天味业,sh.603288,2025-08-29,海天味业于2025年8月29日发布《董事会议事规则（2025年9月修订）》。规则明确：公司董事会由9名董事组成，含3名独立董事及1名职工代表；设董事长一名，可设副董事长，由全体董事过半数选举产生。董事会每年度至少召开四次定期会议，并可根据需要召开临时会议。规则还详细规定了董事会及董事长的职权、会议召集与通知程序等，旨在规范董事会议事程序，提高决策效率。
海天味业,sh.603288,2025-08-29,"海天味业于2025年8月发布2025年A股员工持股计划管理办法。该计划资金来源为公司提取的激励基金18435万元，股票来源为公司已完成的回购股份（回购15,289,491股，均价36.87元/股）。参与总人数不超过800人，其中董事、监事及高级管理人员9人。计划存续期24个月，锁定期12个月，由公司自行管理。"
