code_name,ticker,created_at,text
交通银行,sh.601328,2026-03-28,交通银行董事会于2026年3月27日发布专项报告，对在任独立董事张向东、李晓慧、马骏、王天泽、肖伟、刘瑞霞的独立性进行自查。经核查，上述人员未在本行担任除独立董事、董事会专门委员会委员或主任委员外的其他职务，与本行及主要股东不存在利害关系或其他影响独立判断的关系，符合相关法规及公司章程要求。
交通银行,sh.601328,2026-03-28,交通银行（601328）于2026年3月27日召开董事会，审议批准2025年度报告。该年度财务报告经毕马威会计师事务所审计，出具标准无保留意见。利润分配预案为：以总股本883.64亿股为基数，每10股派发现金股利1.684元（含税），合计148.80亿元。此前已于2025年12月和2026年1月分别完成A股和H股半年度利润分配，每10股派1.563元。报告未提送红股或转增股本。截至2025年末，集团服务公司客户307万户、零售客户2.05亿户。
交通银行,sh.601328,2026-03-28,交通银行于2026年3月28日发布2025年度可持续发展（ESG）报告摘要。报告时间范围为2025年1月1日至12月31日，经董事会审议通过，毕马威华振会计师事务所对部分指标出具独立鉴证报告。公司设置董事会及专门委员会作为ESG治理机构，建立内部报告机制和绩效考核挂钩制度。报告识别了优化公司治理、防范金融风险等28个ESG议题的双重重要性评估结果。
交通银行,sh.601328,2026-03-28,交通银行于2026年3月27日发布评估报告，对2025年度聘任的毕马威会计师事务所履职情况进行总结。毕马威为交通银行提供了中国会计准则和国际财务报告准则下的财务报表审计、内部控制审计及相关专业服务。评估认为，毕马威能够按照监管要求和审计准则较好完成服务，未受金融监管部门行政处罚，也未收到股东负面评价。
交通银行,sh.601328,2026-03-28,交通银行股份有限公司发布公告，自2026年3月27日起，启用新的投资者热线电话021-23538555，原号码021-58766688即日停用。电子信箱等其他投资者服务联系方式保持不变。
交通银行,sh.601328,2026-03-28,交通银行于2026年3月27日董事会审议通过2025年度利润分配方案：以总股本883.64亿股为基数，每10股派发现金股利1.684元（含税），合计148.80亿元。全年（含已派发半年股息）每股分配3.247元，共派发现金286.92亿元，现金分红比例32.3%。同时提取法定盈余公积80.77亿元、一般准备113.27亿元。方案尚需股东会批准。
交通银行,sh.601328,2026-03-28,"交通银行发布2025年度报告摘要。报告期末，集团营业收入265,071百万元，同比增长2.02%；归属于母公司股东净利润95,622百万元，同比增长2.18%；资产总额15,548,388百万元，同比增长4.35%；不良贷款率1.28%，同比下降0.03个百分点；拨备覆盖率208.38%，同比上升6.44个百分点。董事会审议通过2025年度利润分配预案：每10股派发现金股利1.684元（含税），共分配148.80亿元。"
交通银行,sh.601328,2026-03-28,交通银行于2026年3月27日发布2025年度可持续发展报告，覆盖全集团。报告显示，交行资产规模达15.5万亿元，全年净利润956.22亿元，一级资本全球银行排名第9。报告经毕马威审计，参照GRI、上交所、港交所等标准编制。业务方面，科技贷款余额1.58万亿元，绿色贷款9508.25亿元，普惠小微贷款9084.35亿元，养老产业贷款增长49.12%。同时，公司
交通银行,sh.601328,2026-03-28,交通银行于2026年3月27日召开第十一届董事会第六次会议，审议通过2025年度董事会工作报告、行长工作报告、年度报告、财务决算报告、利润分配方案、全面风险管理评估报告、可持续发展报告等多项议案，并批准续聘曹国鸿为交行-汇丰战略合作顾问（任期三年）、聘用2026年度会计师事务所、2026年度固定资产投资及境外投资计划等事项。所有
交通银行,sh.601328,2026-03-28,交通银行董事会审计委员会于2026年3月27日发布报告，总结2025年度对毕马威华振、毕马威会计师事务所的监督职责履行情况。审计委员会查阅了事务所的专业能力、独立性等资料，审议通过续
交通银行,sh.601328,2026-03-28,交通银行2025年度独立董事按规履职，全年董事会召开9次会议，审议通过97项议案；专门委员会召开28次会议，审议160项议案。独立董事对关联交易、财务报告、内部控制等事项发表独立意见。年内完成向特定对象发行A股募集资金约1200亿元，用于补充核心一级资本；现金分红率保持30%以上；完成董事会换届及高管聘任。
交通银行,sh.601328,2026-03-28,交通银行发布2025年度业绩公告。截至2025年12月31日，集团实现归属于母公司股东净利润956.22亿元，同比增长2.2%；利息净收入1730.75亿元，手续费及佣金净收入381.83亿元；资产总额15.55万亿元，客户贷款9.12万亿元，客户存款9.31万亿元。不良贷款率1.28%，较上年下降0.03个百分点；拨备覆盖率208.38%，上升6.44个百分点；净利息收益率1.20%，下降0.07个百分点。核心一级资本充足率11.43%，上升1.19个百分点。
交通银行,sh.601328,2026-03-28,交通银行公告，因原持续督导保荐代表人朱东辰个人原因离职，联席保荐人国泰海通证券委派徐立接替其职责。变更后，国泰海通指派交通银行的保荐代表人为蔡锐和徐立，持续督导期至监管规定的义务结束。
交通银行,sh.601328,2026-03-28,交通银行于2026年3月27日发布2025年度非经营性资金占用及其他关联资金往来情况的专项说明，由毕马威华振会计师事务所进行审计。该说明依据证监会、公安部、国资委和银保监会相关监管要求编制。会计师事务所核对后认为，汇总表与已审计财务报表相关项目在所有重大方面没有不一致。
交通银行,sh.601328,2026-03-28,毕马威华振会计师事务所对交通银行2025年度财务报表出具无保留意见审计报告。报告显示，交通银行2025年12月31日的合并及公司财务报表在所有重大方面按照企业会计准则编制，公允反映了财务状况和经营成果。审计过程中重点关注了发放贷款和垫款等金融资产的预期信用损失计量。
交通银行,sh.601328,2026-03-28,交通银行于2026年3月27日召开董事会，审议通过续聘毕马威华振和毕马威香港为其2026年度会计师事务所，负责财务报表审计、内部控制审计及相关专业服务。2026年度审计收费为4526万元，较上年减少141万元，同比降低3%。该事项尚需提交2025年度股东会审议。
交通银行,sh.601328,2026-03-28,交通银行于2025年6月向特定对象发行A股股票，募集资金总额1200亿元，扣除发行费用后净额约1199.41亿元。截至2025年12月31日，该募集资金已全部用于补充核心一级资本。联席保荐人国泰海通证券和中信建投证券核查后认为，交通银行2025年度募集资金存放、管理和使用情况符合相关规定，不存在违规情形。
交通银行,sh.601328,2026-03-28,交通银行于2026年3月28日发布2025年度内部控制评价报告。报告显示，于2025年12月31日基准日，公司不存在财务报告内部控制重大缺陷，财务报告内部控制被评价为有效；未发现非财务报告内部控制重大缺陷。内部控制评价范围覆盖公司本部、境内外分支机构及附属子公司，涵盖公司治理、信贷、金融市场等业务领域。部分一般缺陷已完成整改或正在落实。
